source,eip_model,n_obs,temp_min,temp_max,EIP_min,EIP_max,EIP_mean,EIP_sd
Satellite (SDT),Degree-day,431,24.11,27.9,9.327731092,13.68680641,11.22269637,1.301715231
Simulated MRST,Degree-day,431,27.06663897,31.83223714,7.011011711,10.03014558,8.362390347,0.822832742
Observed MRST,Degree-day,431,21,39.4,4.743589744,22.2,8.510484898,1.652816442
Satellite (SDT),Brière,431,24.11,27.9,13.07743649,20.24472211,16.09302265,2.131231747
Simulated MRST,Brière,431,27.06663897,31.83223714,10.05875348,14.13876552,11.76048659,1.110409425
Observed MRST,Brière,431,21,39.4,9.246612377,36.96105098,12.10603676,2.5047103
Satellite (SDT),mSOS,431,24.11,27.9,9.833931299,13.76950532,11.55176232,1.183993587
Simulated MRST,mSOS,431,27.06663897,31.83223714,9.242228095,10.45595489,9.447145429,0.329226976
Observed MRST,mSOS,431,21,39.4,9.242228095,20.52759592,9.692099396,1.064283265
